order_id,basket_size,promo_flag,store_format,high_margin
1,67.06,1,A,0
2,423.64,0,C,1
3,401.35,1,B,1
4,18.52,1,A,0
5,47.7,0,C,0
6,253.26,0,A,0
7,415.28,0,C,1
8,138.33,0,C,0
9,163.32,1,B,0
10,363.98,0,C,1
11,34.22,1,D,0
12,412.77,0,C,1
13,483.58,1,A,1
14,399.11,0,D,1
15,492.4,0,D,1
16,259.6,0,D,0
17,102.26,1,D,0
18,407.48,0,A,1
19,491.69,0,A,1
20,384.76,1,C,1
21,64.41,0,D,0
22,169.42,1,A,0
23,120.6,0,A,0
24,383.23,1,A,1
25,103.67,1,B,0
26,27.32,1,D,0
27,247.68,0,B,0
28,251.41,0,C,0
29,242.59,0,D,0
30,281.66,0,B,1
31,339.92,1,D,1
32,287.11,0,C,1
33,201.61,1,D,0
34,20.48,0,B,0
35,362.58,0,B,1
36,136.82,0,B,0
37,53.93,0,B,0
38,397.17,1,A,1
39,93.78,0,C,0
40,438.94,0,D,1
41,189.01,0,C,0
42,470.64,1,A,1
43,493.6,0,B,1
44,490.32,0,C,1
45,398.66,0,B,1
46,136.73,0,C,0
47,360.29,0,C,1
48,272.84,1,A,1
49,356.99,0,D,1
50,193.41,1,B,0
51,292.79,0,D,1
52,241.72,1,A,0
53,207.62,1,A,0
54,206.39,0,A,0
55,349.26,0,A,1
56,178.04,1,B,0
57,248.71,0,D,0
58,260.2,1,C,0
59,102.49,0,D,0
60,370.93,1,D,1
61,361.15,0,C,1
62,382.25,1,D,1
63,260.79,1,C,0
64,376.88,0,C,1
65,295.36,0,B,1
66,66.16,1,C,0
67,121.86,1,B,0
68,395.71,0,B,1
69,309.52,1,D,1
70,451.57,0,C,1
71,38.73,1,A,0
72,417.94,1,D,1
73,246.94,0,A,0
74,33.42,0,C,0
75,189.9,0,B,0
76,335.07,1,A,1
77,169.3,1,B,0
78,417.78,1,A,1
79,284.71,0,A,1
80,176.11,1,D,0
81,495.51,1,B,1
82,493.89,0,D,1
83,168.9,1,D,0
84,294.78,1,B,1
85,102.18,0,C,0
86,285.34,0,A,1
87,273.36,0,D,0
88,225.77,0,A,0
89,156.83,1,A,0
90,109.64,0,B,0
91,12.44,1,B,0
92,345.5,0,C,1
93,293.07,0,C,1
94,247.58,0,D,0
95,152.08,1,D,0
96,217.56,0,A,0
97,384.35,1,B,1
98,366.59,1,B,1
99,442.58,1,C,1
100,113.85,0,C,0
101,55.32,0,D,0
102,443.55,0,A,1
103,269.99,0,D,0
104,200.29,0,A,0
105,418.93,1,A,1
106,387.58,1,D,1
107,368.52,0,C,1
108,124.69,1,B,0
109,206.71,1,D,0
110,465.84,0,D,1
111,18.82,1,D,0
112,388.66,0,D,1
113,435.97,1,B,1
114,393.82,1,D,1
115,365.32,0,C,1
116,410.65,1,D,1
117,62.92,1,B,0
118,157.82,0,B,0
119,152.26,0,C,0
120,303.11,0,D,1
