Budget_kUSD,Duration_Months,Team_Size,Scope_Changes,Quality_Incidents,Stakeholder_Count,Team_Experience_Years,Vendor_Reliability_Score,Complexity_Score,Risk_Level
574.51,16.2,7,1,0,10,7.0,8.7,2.7,Low
479.26,14.8,12,0,1,14,9.0,6.3,7.8,Low
597.15,12.2,4,3,2,5,8.4,6.0,9.4,Medium
728.45,10.1,9,1,1,6,2.7,6.7,1.8,Low
464.88,14.1,4,1,3,13,1.8,6.1,6.0,Medium
464.88,13.2,15,6,1,6,5.7,6.0,3.3,Low
736.88,14.7,14,2,1,13,2.3,8.8,2.3,Low
615.12,13.9,14,1,1,7,1.1,4.7,3.0,Low
429.58,15.1,3,2,0,11,5.6,9.8,6.2,Low
581.38,10.4,14,2,0,14,6.1,7.3,1.6,Low
430.49,16.0,7,2,0,11,8.4,5.1,4.9,Low
430.14,12.6,17,3,0,12,6.5,4.8,2.2,Low
536.29,18.2,3,2,4,14,8.8,7.5,3.5,Low
213.01,9.9,9,1,1,3,5.7,7.8,2.7,Low
241.26,17.2,18,5,0,10,2.7,4.3,8.9,Low
415.66,12.6,3,2,1,3,6.6,5.5,7.4,Low
348.08,10.0,11,3,1,4,7.7,8.8,8.8,Low
547.14,10.5,17,2,2,9,5.8,4.3,4.5,Low
363.8,11.0,7,1,1,10,7.9,9.1,3.8,Low
288.15,13.3,3,1,1,3,4.8,7.9,4.4,Low
719.85,13.6,3,3,2,5,6.1,6.6,1.2,Low
466.13,10.3,14,0,4,9,4.7,6.1,7.5,Medium
510.13,11.9,16,0,1,11,9.8,4.1,4.1,Low
286.29,18.4,3,1,0,10,6.7,9.0,3.8,Low
418.34,17.2,8,2,2,10,2.8,4.9,6.4,Medium
516.64,13.3,4,2,0,11,8.7,5.9,4.9,Low
327.35,12.1,9,2,1,12,3.5,7.4,9.8,Medium
556.35,12.4,15,2,0,5,5.0,5.5,4.2,Low
409.9,13.8,8,2,0,10,5.9,7.0,6.5,Low
456.25,8.9,8,3,1,3,6.1,8.9,3.8,Low
409.74,11.2,2,2,0,10,6.0,6.8,9.9,Medium
777.84,7.0,18,1,1,9,2.7,9.7,5.0,Low
497.98,13.2,10,2,5,10,6.0,9.1,6.7,Medium
341.34,13.9,14,3,2,3,7.2,6.0,2.1,Low
623.38,10.6,18,1,0,8,7.1,6.4,7.6,Low
316.87,16.7,11,3,2,9,2.4,6.5,3.4,Low
531.33,8.3,11,1,1,13,3.7,7.8,5.0,Low
206.05,7.6,5,0,1,7,2.9,5.7,8.9,Medium
300.77,12.7,9,3,2,7,5.7,9.8,9.7,Low
529.53,15.1,19,3,2,9,1.9,7.7,4.8,Low
610.77,17.1,15,2,0,13,2.8,6.4,8.5,Low
525.71,10.6,19,1,2,5,3.7,7.9,1.5,Low
482.65,15.2,15,3,0,8,1.4,6.4,8.6,Low
454.83,11.9,16,5,2,9,4.9,8.9,6.7,Low
278.22,11.5,5,4,0,3,0.8,7.4,5.4,Low
392.02,14.7,14,0,0,14,6.0,4.3,9.0,Low
430.9,14.0,9,2,1,4,4.2,5.1,8.6,Low
658.57,7.3,19,3,1,14,3.8,9.2,3.7,Low
551.54,16.4,13,2,1,6,4.1,7.4,8.1,Low
235.54,16.1,15,4,0,10,4.9,9.7,1.9,Low
548.61,10.1,3,4,2,13,6.2,4.4,8.4,High
442.24,13.2,19,1,2,12,7.6,5.8,7.1,Low
398.46,13.5,3,4,1,8,7.0,5.2,1.8,Low
591.75,12.8,12,0,1,3,9.5,7.3,7.1,Low
654.65,10.3,10,1,0,12,6.4,6.3,6.2,Low
639.69,10.0,13,2,1,7,5.3,4.9,6.4,Low
374.12,11.9,18,1,1,9,4.1,7.9,3.6,Low
453.62,15.5,16,6,0,8,4.2,7.2,3.4,Low
549.69,13.6,18,4,3,14,6.1,5.6,7.9,Medium
646.33,10.9,19,4,2,11,3.0,6.9,3.3,Low
428.12,14.3,7,2,2,10,5.5,8.5,5.0,Low
472.15,3.5,18,2,3,6,5.0,5.2,7.3,Medium
334.05,15.4,19,2,0,13,3.5,5.8,1.7,Low
320.57,6.8,9,5,1,14,2.9,6.1,6.4,Medium
621.88,10.9,10,2,0,7,10.0,8.5,6.3,Low
703.44,8.6,7,3,0,9,2.2,9.1,7.2,Medium
489.2,8.1,6,3,0,10,4.9,6.3,4.3,Low
650.53,15.5,13,0,3,7,7.4,5.8,5.0,Low
554.25,10.6,12,2,3,11,6.1,9.3,4.0,Low
403.23,13.0,2,4,0,12,4.1,10.0,8.3,Medium
554.21,11.9,12,2,2,14,2.6,8.0,2.2,Low
730.71,13.4,10,0,1,6,5.3,9.9,9.7,Low
494.63,12.2,3,1,2,6,0.5,8.0,6.7,Medium
734.7,8.2,13,1,1,10,5.3,8.4,9.0,Medium
107.04,15.0,5,1,0,3,5.1,6.3,4.8,Low
623.29,10.5,5,3,0,10,7.1,6.6,4.0,Low
513.06,7.3,19,2,0,7,2.7,4.9,9.1,Medium
455.15,10.7,16,3,1,13,4.4,8.9,1.9,Low
513.76,16.5,14,3,0,3,5.9,9.6,2.1,Low
201.86,14.6,18,2,2,6,5.4,7.7,3.7,Low
467.05,11.0,7,1,1,4,2.3,6.1,9.6,Medium
553.57,11.0,17,1,0,6,3.7,4.9,6.7,Low
721.68,11.0,13,5,1,10,7.8,5.6,6.0,Medium
422.26,18.2,6,1,1,7,5.5,5.5,7.3,Low
378.73,13.1,18,2,2,3,1.7,7.7,4.8,Low
424.74,13.3,2,2,0,9,6.8,9.7,7.8,Low
637.31,15.1,11,0,3,3,1.8,4.3,4.5,Low
549.31,12.7,16,0,1,11,4.4,4.0,8.4,Low
420.54,11.2,12,3,1,5,6.1,7.6,3.4,Low
576.99,11.4,14,1,3,14,7.4,5.7,3.5,Low
514.56,11.8,6,4,0,5,0.5,9.3,5.7,Low
645.3,11.9,2,4,1,8,6.4,6.0,4.9,Medium
394.69,14.2,13,1,0,12,6.7,5.7,6.8,Low
450.85,12.2,12,5,0,8,3.9,5.6,4.3,Low
441.18,14.2,18,1,0,13,5.2,4.9,3.1,Low
280.47,11.8,5,0,2,13,0.5,7.5,5.2,Low
544.42,12.2,16,2,1,8,0.5,5.0,6.0,Low
539.16,6.0,10,3,0,3,7.2,6.5,2.3,Low
500.77,14.7,13,1,2,7,3.9,6.8,6.0,Low
464.81,13.0,6,1,2,14,4.3,4.1,3.9,Low
287.69,15.0,11,1,1,8,5.5,4.1,4.5,Low
436.9,3.3,18,3,0,10,4.3,7.1,3.5,Low
448.59,18.3,6,2,3,3,4.1,8.2,9.4,Medium
379.66,11.6,17,2,0,7,5.8,9.7,7.2,Low
475.81,15.3,8,0,1,5,2.0,5.1,3.4,Low
560.61,8.9,10,1,1,4,7.3,4.6,6.8,Low
782.93,13.8,4,1,2,13,4.5,4.3,8.6,High
526.19,8.8,16,5,0,10,3.0,6.6,4.6,Low
538.63,10.1,17,4,0,9,2.7,7.7,8.5,Medium
488.83,17.7,19,2,1,12,5.1,9.0,2.4,Low
212.18,11.4,15,2,3,9,4.4,8.1,8.4,Low
496.02,12.7,4,0,0,7,1.9,5.3,5.9,Low
509.03,14.6,13,0,0,14,3.8,6.8,3.0,Low
869.49,13.5,10,1,1,11,3.4,9.5,4.7,Low
471.15,12.5,8,2,4,7,7.5,6.0,9.9,Medium
545.23,13.1,10,3,1,4,5.3,7.0,8.1,Low
494.79,19.2,14,2,0,5,8.1,9.8,6.2,Low
324.7,11.8,19,0,1,6,3.6,8.4,2.0,Low
671.42,12.6,6,1,0,7,4.4,8.5,4.8,Low
612.79,15.2,14,4,2,5,5.8,5.5,3.4,Low
618.65,15.3,5,1,1,14,6.2,6.5,1.6,Low
363.59,15.6,3,3,1,9,6.4,4.5,5.9,Low
710.42,13.9,17,0,2,7,3.2,7.6,9.0,Low
289.72,8.6,10,1,1,7,3.3,4.6,7.1,Low
588.03,16.9,10,3,1,8,4.3,9.0,3.2,Low
828.57,8.6,7,2,1,9,8.0,8.9,6.2,Low
351.42,12.9,12,3,0,12,3.0,7.2,9.5,Medium
415.06,9.7,2,1,2,12,3.9,4.8,7.5,Medium
514.95,11.8,5,1,1,10,6.5,4.2,7.2,Medium
424.48,13.0,14,2,1,11,6.4,8.8,9.7,Low
267.4,13.0,14,2,0,13,6.1,7.6,8.2,Low
510.28,13.3,14,2,2,6,5.2,8.3,2.2,Low
340.65,16.8,3,4,0,7,2.9,5.8,4.1,Low
571.04,13.4,10,1,2,7,3.6,7.1,9.7,Medium
362.09,11.3,9,2,2,10,7.3,8.5,5.4,Low
732.49,14.9,8,2,2,11,6.5,6.8,2.0,Low
382.51,15.6,5,2,0,9,2.3,7.6,5.1,Low
451.69,8.3,19,2,2,7,6.7,8.7,7.3,Low
622.03,13.8,4,2,1,5,7.6,5.3,10.0,Medium
315.37,14.1,7,2,1,3,5.1,4.4,3.9,Low
534.12,11.1,13,1,1,13,5.9,7.2,5.6,Low
696.07,16.1,13,1,2,11,7.0,4.4,8.9,Medium
258.88,11.5,9,3,0,7,3.6,8.6,4.2,Low
527.7,12.4,2,1,0,11,9.7,8.3,2.0,Low
538.98,11.5,5,2,1,12,7.4,9.3,9.5,Medium
617.27,12.0,12,3,0,14,6.0,7.8,5.4,Low
314.46,8.7,4,3,1,6,4.9,4.4,5.5,Medium
301.93,7.7,14,5,0,7,6.0,5.5,6.6,Low
578.29,16.8,18,1,0,6,1.9,8.8,1.0,Low
544.55,9.5,11,3,0,4,9.2,5.0,9.4,Low
537.57,9.0,13,2,0,14,7.3,8.2,4.3,Low
551.97,5.5,16,3,1,3,7.9,8.7,4.6,Low
398.0,10.1,11,1,1,10,5.1,6.0,2.6,Low
534.84,8.0,15,1,0,6,4.3,5.9,4.4,Low
543.96,16.9,14,4,0,7,3.7,7.3,8.2,Low
392.85,15.0,6,0,0,8,6.6,9.2,8.2,Low
779.87,9.9,7,4,1,10,4.0,5.3,9.4,High
571.07,18.8,3,2,0,13,4.6,9.6,4.6,Low
321.3,14.9,18,1,0,10,6.1,7.6,7.4,Low
598.48,11.0,5,0,0,9,3.7,10.0,5.6,Low
353.8,4.5,15,3,0,6,7.1,4.5,8.2,Low
618.06,18.9,11,1,1,8,5.0,4.8,7.4,Low
673.79,7.8,4,1,1,6,2.0,9.0,4.3,Low
376.9,7.1,4,2,3,9,3.7,9.2,4.0,Medium
644.51,15.1,16,0,2,14,7.6,6.7,3.3,Low
561.92,19.3,7,5,2,14,3.1,8.3,6.2,Medium
623.31,16.2,18,3,0,13,6.8,9.2,9.7,Low
784.52,13.7,13,0,0,3,5.2,4.3,2.8,Low
463.19,13.8,12,3,1,7,4.7,7.4,1.9,Low
386.94,14.6,5,1,2,12,10.0,9.1,2.1,Low
366.57,14.3,7,0,2,14,2.4,6.4,8.0,Medium
377.63,12.8,2,1,3,12,3.5,5.8,4.2,Medium
488.43,12.3,17,1,2,6,5.0,8.8,3.0,Low
551.17,11.8,16,1,3,13,9.8,6.0,4.2,Low
541.5,9.7,18,0,1,9,5.0,4.0,6.8,Low
624.08,11.2,9,1,0,11,5.5,9.8,5.9,Low
501.95,6.9,13,2,1,7,4.3,7.6,7.7,Low
718.03,11.7,11,4,0,6,5.7,8.9,4.1,Low
460.3,9.0,16,3,2,11,4.5,9.0,5.1,Low
908.03,8.7,10,1,1,7,6.4,4.4,1.9,Low
593.85,12.5,3,3,0,11,6.5,5.0,1.7,Low
371.43,16.2,6,1,2,10,4.5,5.9,5.2,Low
339.37,14.8,7,2,1,6,2.7,5.9,3.7,Low
572.37,7.3,8,2,0,13,5.2,8.0,6.5,Low
466.48,9.0,2,2,0,13,7.8,7.7,1.4,Low
607.1,14.8,8,1,2,9,3.3,7.0,2.1,Low
570.99,9.1,13,0,2,7,5.7,5.3,8.8,Medium
489.08,11.3,17,3,0,12,2.6,6.3,6.1,Low
372.98,13.7,17,1,0,6,2.9,7.3,7.4,Low
272.77,9.1,12,0,1,7,7.6,6.8,8.6,Low
433.02,12.3,5,2,1,7,6.4,4.8,5.2,Low
628.46,8.0,14,0,1,13,5.7,7.9,7.8,Low
532.11,10.2,8,1,1,11,0.5,4.4,5.7,Medium
313.14,13.0,5,2,3,14,3.9,6.3,3.0,Low
525.98,7.2,16,1,0,11,6.2,8.3,4.0,Low
557.8,13.3,10,5,0,8,2.1,4.1,5.4,Medium
367.42,11.9,12,3,0,6,4.3,7.4,3.9,Low
523.06,13.7,9,1,1,4,6.5,6.0,4.0,Low
508.73,12.7,2,1,0,5,2.0,4.1,4.0,Low
328.55,16.1,9,0,1,4,1.6,5.1,2.1,Low
553.67,12.4,14,0,0,7,2.0,9.6,1.8,Low
584.12,10.7,5,2,0,8,5.7,7.1,1.4,Low
662.46,12.4,9,2,1,13,3.9,10.0,2.0,Low
658.07,13.6,4,4,0,7,6.8,7.1,4.1,Low
293.35,12.1,10,0,2,4,5.2,7.3,6.3,Low
359.33,12.1,3,1,3,14,8.8,6.4,2.7,Low
577.26,9.9,3,1,0,7,2.5,5.9,9.0,Medium
577.07,10.0,14,1,0,11,5.7,5.5,8.3,Low
577.26,7.8,16,2,2,6,3.4,6.1,5.7,Low
1000.0,17.2,13,0,0,14,6.2,6.8,7.5,Low
585.63,8.3,5,1,2,12,5.2,5.2,4.3,Medium
670.33,9.9,9,0,4,4,3.0,5.3,1.3,Low
643.1,9.8,10,3,0,5,4.7,5.6,9.1,Medium
597.71,14.7,6,2,0,5,5.1,6.7,2.2,Low
452.71,11.1,19,1,1,11,3.8,7.9,9.5,Low
613.85,15.7,12,1,1,6,6.5,9.1,6.1,Low
384.08,10.0,16,2,1,3,2.9,5.7,3.8,Low
464.48,12.8,10,1,0,3,9.2,5.1,5.5,Low
427.2,9.5,18,0,1,9,6.9,6.3,5.5,Low
512.28,18.4,13,5,1,9,5.7,9.4,1.2,Low
847.2,8.4,8,4,1,4,10.7,4.1,4.2,Low
219.91,12.9,11,2,1,11,4.4,8.1,7.7,Low
602.94,13.9,11,0,2,11,6.2,6.9,5.6,Low
258.09,13.2,14,3,0,7,5.4,5.0,3.2,Low
429.21,11.4,12,2,1,5,6.6,5.9,4.0,Low
663.34,11.6,14,6,1,5,8.0,5.3,8.8,Medium
509.64,12.1,9,3,2,14,6.1,9.3,5.7,Low
338.34,11.6,9,1,2,5,7.1,6.9,5.8,Low
392.7,14.9,5,2,3,8,3.9,7.4,9.7,Medium
601.94,18.6,16,1,1,6,4.6,7.6,3.9,Low
390.45,10.3,12,3,2,10,8.3,7.8,5.3,Low
532.47,7.9,12,0,0,13,6.2,7.0,8.3,Low
506.84,11.7,2,4,1,13,5.5,4.1,7.8,High
402.26,19.7,18,3,0,13,3.5,6.0,3.4,Low
821.59,9.6,16,1,0,7,6.9,5.1,2.4,Low
595.09,16.9,7,2,0,3,3.4,8.1,7.3,Low
196.23,17.0,16,0,1,11,2.8,4.3,3.3,Low
527.97,10.3,10,6,0,3,5.2,7.4,9.3,Medium
400.73,13.7,15,3,0,8,0.5,5.3,2.2,Low
627.87,16.9,19,1,0,3,6.2,9.7,3.9,Low
381.12,10.9,18,0,1,5,5.8,6.0,1.5,Low
482.79,11.4,19,3,1,12,4.3,6.0,7.3,Low
575.75,10.3,6,0,0,7,4.5,9.5,9.0,Low
629.86,9.0,10,2,0,12,4.8,6.5,6.7,Medium
319.96,10.1,12,2,0,9,3.4,9.8,9.4,Low
449.82,8.3,2,3,2,12,5.4,4.1,2.2,Medium
428.76,12.1,19,2,1,10,4.5,5.8,1.8,Low
402.0,9.7,7,2,2,14,5.2,8.0,8.5,Medium
764.82,12.7,3,2,1,11,4.7,9.3,8.7,Medium
560.75,7.3,16,3,2,8,4.3,5.5,8.5,Medium
310.87,13.0,15,2,0,13,5.6,9.6,8.2,Low
637.68,14.5,6,1,0,11,6.6,7.6,4.3,Low
818.32,6.0,7,2,2,10,4.0,8.8,3.0,Medium
654.87,13.1,7,3,2,11,5.8,6.4,9.4,Medium
272.09,15.7,19,2,2,12,6.0,5.3,3.8,Low
427.36,8.4,15,0,0,6,2.4,9.5,4.6,Low
690.04,17.0,11,3,1,11,7.0,9.6,7.3,Low
393.85,13.3,15,3,1,9,9.1,7.0,3.6,Low
566.57,9.9,14,2,0,7,4.8,4.0,8.4,Low
616.2,11.8,4,1,2,7,4.7,4.7,1.6,Low
360.96,13.7,7,6,2,3,4.6,7.4,8.1,Medium
491.07,12.2,9,6,0,4,6.2,4.1,6.4,Medium
100.0,13.6,13,3,2,12,6.0,6.4,6.2,Low
346.34,9.2,14,3,3,5,1.8,5.8,5.1,Medium
462.11,12.5,12,2,1,10,3.3,8.3,3.5,Low
312.83,7.8,13,0,3,8,6.0,4.3,5.2,Low
744.86,11.7,2,1,0,14,4.7,6.9,5.1,Low
285.48,9.3,18,1,0,12,2.7,7.5,6.3,Low
433.99,9.8,17,0,1,13,8.0,7.7,3.5,Low
519.61,15.7,12,4,1,7,3.4,6.4,1.7,Low
716.19,15.3,14,3,1,3,5.1,5.8,2.3,Low
